dname,iteration,base_model,size,Algorithm,Time,AUROC,PRAUC,F1_score,geometric_mean,matthews_corrcoef
glass2,11,DT,20,deskl,0.060213565826416,0.7999999999999999,0.2145363408521303,0.3333333333333333,0.7416198487095662,0.3078936097835318
glass2,11,DT,20,rrc,0.4193768501281738,0.7999999999999999,0.2145363408521303,0.3333333333333333,0.7416198487095662,0.3078936097835318
glass2,12,DT,20,SPE,0.0921251773834228,0.8,0.2212166918049271,0.2,0.532290647422377,0.1265120192127649
glass2,12,DT,20,Easy100,0.0815570354461669,0.875,0.3111111111111111,0.4444444444444444,0.7745966692414833,0.416621619186491
glass2,12,DT,20,Cascade100,0.0810170173645019,0.8625,0.2333333333333333,0.4,0.8803408430829505,0.4401704215414752
glass2,12,DT,20,RusBoost100,0.0772600173950195,0.9166666666666666,0.4111111111111111,0.3333333333333333,0.5627314338711377,0.2833333333333333
glass2,12,DT,20,DES-P,0.0100011825561523,0.9291666666666666,0.4027777777777777,0.4444444444444444,0.7745966692414833,0.416621619186491
glass2,12,DT,20,META-DES,0.21409273147583,0.85,0.3176638176638177,0.3333333333333333,0.5627314338711377,0.2833333333333333
glass2,12,DT,20,knorae,0.0069923400878906,0.5916666666666666,0.1576227390180878,0.2857142857142857,0.5552777082985894,0.2265733216543158
glass2,12,DT,20,knorau,0.0158913135528564,0.8583333333333334,0.3242424242424242,0.25,0.5477225575051661,0.1854345299891061
glass2,12,DT,20,knop,0.0231604576110839,0.825,0.2987012987012987,0.2857142857142857,0.5552777082985894,0.2265733216543158
glass2,12,DT,20,DESKNN,0.0085415840148925,0.9458333333333332,0.4428571428571428,0.3333333333333333,0.5627314338711377,0.2833333333333333
glass2,12,DT,20,deskl,0.0400712490081787,0.8666666666666667,0.2853535353535353,0.2222222222222222,0.5400617248673216,0.1531697129362099
glass2,12,DT,20,rrc,0.6118617057800293,0.8666666666666667,0.2853535353535353,0.2222222222222222,0.5400617248673216,0.1531697129362099
glass2,13,DT,20,SPE,0.1671688556671142,0.9,0.4102564102564102,0.375,0.8660254037844386,0.4160251471689218
glass2,13,DT,20,Easy100,0.1296589374542236,0.8416666666666667,0.205026455026455,0.3333333333333333,0.8366600265340756,0.3741657386773941
glass2,13,DT,20,Cascade100,0.0820288658142089,0.8791666666666667,0.3244047619047618,0.3076923076923077,0.7302967433402215,0.2814105882725793
glass2,13,DT,20,RusBoost100,0.1241960525512695,0.7416666666666666,0.1550925925925926,0.0,0.0,-0.0877058019307029
glass2,13,DT,20,DES-P,0.0115118026733398,0.9041666666666668,0.3777777777777777,0.375,0.8660254037844386,0.4160251471689218
glass2,13,DT,20,META-DES,0.1943750381469726,0.8666666666666667,0.2694805194805195,0.3333333333333333,0.7416198487095662,0.3078936097835318
glass2,13,DT,20,knorae,0.0098857879638671,0.8624999999999999,0.2507936507936508,0.3636363636363636,0.752772652709081,0.3382377298657882
glass2,13,DT,20,knorau,0.0156261920928955,0.8916666666666667,0.3686868686868687,0.4,0.8803408430829505,0.4401704215414752
glass2,13,DT,20,knop,0.0189247131347656,0.8666666666666667,0.2853535353535353,0.4285714285714285,0.8944271909999159,0.4670993664969137
glass2,13,DT,20,DESKNN,0.0069093704223632,0.8333333333333333,0.2103174603174603,0.3636363636363636,0.752772652709081,0.3382377298657882
glass2,13,DT,20,deskl,0.0215804576873779,0.9208333333333332,0.4333333333333333,0.375,0.8660254037844386,0.4160251471689218
glass2,13,DT,20,rrc,0.2859301567077636,0.9208333333333332,0.4333333333333333,0.375,0.8660254037844386,0.4160251471689218
glass2,14,DT,20,SPE,0.0624496936798095,0.925,0.4027777777777778,0.4444444444444444,0.7745966692414833,0.416621619186491
glass2,14,DT,20,Easy100,0.0527684688568115,0.8791666666666667,0.2611111111111111,0.4444444444444444,0.7745966692414833,0.416621619186491
glass2,14,DT,20,Cascade100,0.0534188747406005,0.6708333333333333,0.1759259259259259,0.2222222222222222,0.5400617248673216,0.1531697129362099
glass2,14,DT,20,RusBoost100,0.0520548820495605,0.8166666666666667,0.2476851851851851,0.3333333333333333,0.5627314338711377,0.2833333333333333
glass2,14,DT,20,DES-P,0.0071339607238769,0.9708333333333332,0.7222222222222222,0.5714285714285714,0.7958224257542214,0.5408524452393346
glass2,14,DT,20,META-DES,0.0382215976715087,0.9583333333333331,0.6666666666666667,0.4,0.5700877125495689,0.3729960003272992
glass2,14,DT,20,knorae,0.0074298381805419,0.9708333333333332,0.5888888888888889,0.4,0.5700877125495689,0.3729960003272992
glass2,14,DT,20,knorau,0.0125548839569091,0.95,0.5317460317460317,0.5,0.7852812659593164,0.4702089867580906
glass2,14,DT,20,knop,0.0108284950256347,0.9416666666666668,0.6095238095238096,0.5,0.7852812659593164,0.4702089867580906
glass2,14,DT,20,DESKNN,0.0073821544647216,0.9541666666666666,0.4583333333333332,0.4,0.5700877125495689,0.3729960003272992
