,dname,iteration,base_model,Algorithm,Time,AUROC,PRAUC,F1_score,geometric_mean,matthews_corrcoef
124,ps_failure.csv,13,DT,DES-P,1.8266375064849851,0.978920298462007,0.7775589542067897,0.6927710843373494,0.9096447833057364,0.696922144119726
125,ps_failure.csv,13,DT,META-DES,56.7553780078888,0.9502184863712502,0.31952481632817,0.4974721941354904,0.930857339242171,0.5437583036788751
126,ps_failure.csv,13,DT,knorae,2.0687201023101807,0.8981227348865539,0.4498948213680256,0.6475037821482602,0.8770483605305378,0.6495238459976671
127,ps_failure.csv,13,DT,knorau,1.9168205261230469,0.9847358002131872,0.8036271530692091,0.6772793053545586,0.916805784257726,0.6851650063617045
128,ps_failure.csv,13,DT,knop,3.729248523712158,0.9715247753921122,0.4385127280238665,0.5225409836065574,0.9484530936740913,0.5702649756132887
129,ps_failure.csv,13,DT,DESKNN,2.2294182777404785,0.945964489112228,0.5836011833989981,0.6292749658002736,0.9075787026855844,0.6416432312185293
130,ps_failure.csv,14,DT,SPE,1.1370792388916016,0.9807166742804934,0.810887174951274,0.6497175141242938,0.9082884839927232,0.6591857536849424
131,ps_failure.csv,14,DT,Easy100,2.782747268676758,0.9838333485609868,0.5931030824936084,0.4174603174603175,0.9539912710349624,0.4916004623747383
132,ps_failure.csv,14,DT,Cascade100,1.1892337799072266,0.9863197198111772,0.7852631599110578,0.522279792746114,0.9431178912436768,0.5679330740392068
133,ps_failure.csv,14,DT,RusBoost100,1.1254279613494873,0.9857203593726208,0.6216385911733786,0.3978494623655914,0.9451744674235264,0.4727956574894807
134,ps_failure.csv,14,DT,DES-P,1.8287622928619385,0.9745280341099438,0.7733836133710138,0.677710843373494,0.8995506720599301,0.6812934358767655
135,ps_failure.csv,14,DT,META-DES,62.125248193740845,0.9415200852748592,0.3452117259002641,0.5014985014985015,0.9400420209043509,0.5505392165822997
136,ps_failure.csv,14,DT,knorae,2.417214155197144,0.8946051469468552,0.4648617864749187,0.6646971935007385,0.8991544680551173,0.6697577831738746
